0, 1905 MHz, 6800 MHz, 83.63 W, 49
1, 1905 MHz, 6800 MHz, 100.01 W, 47
2, 1905 MHz, 6800 MHz, 103.13 W, 49
3, 1875 MHz, 6800 MHz, 91.61 W, 51
0, 1905 MHz, 6800 MHz, 118.30 W, 51
1, 1905 MHz, 6800 MHz, 184.13 W, 49
2, 1905 MHz, 6800 MHz, 137.81 W, 51
3, 1875 MHz, 6800 MHz, 123.40 W, 54
0, 1890 MHz, 6800 MHz, 180.61 W, 53
1, 1905 MHz, 6800 MHz, 197.26 W, 52
2, 1905 MHz, 6800 MHz, 201.31 W, 54
3, 1875 MHz, 6800 MHz, 187.15 W, 56
0, 1890 MHz, 6800 MHz, 96.93 W, 52
1, 1905 MHz, 6800 MHz, 116.28 W, 50
2, 1905 MHz, 6800 MHz, 119.86 W, 52
3, 1875 MHz, 6800 MHz, 106.36 W, 54
0, 1890 MHz, 6800 MHz, 83.40 W, 51
1, 1905 MHz, 6800 MHz, 102.21 W, 49
2, 1905 MHz, 6800 MHz, 105.93 W, 52
3, 1875 MHz, 6800 MHz, 94.93 W, 54
0, 1890 MHz, 6800 MHz, 192.89 W, 56
1, 1905 MHz, 6800 MHz, 195.78 W, 54
2, 1905 MHz, 6800 MHz, 206.68 W, 56
3, 1860 MHz, 6800 MHz, 191.15 W, 58
0, 1890 MHz, 6800 MHz, 194.87 W, 56
1, 1890 MHz, 6800 MHz, 200.99 W, 55
2, 1905 MHz, 6800 MHz, 208.72 W, 56
3, 1860 MHz, 6800 MHz, 194.71 W, 59
0, 1890 MHz, 6800 MHz, 170.61 W, 54
1, 1890 MHz, 6800 MHz, 186.77 W, 53
2, 1890 MHz, 6800 MHz, 119.03 W, 54
3, 1860 MHz, 6800 MHz, 144.14 W, 57
0, 1890 MHz, 6800 MHz, 84.24 W, 52
1, 1890 MHz, 6800 MHz, 103.12 W, 50
2, 1890 MHz, 6800 MHz, 104.76 W, 53
3, 1860 MHz, 6800 MHz, 92.03 W, 55
0, 1890 MHz, 6800 MHz, 184.47 W, 56
1, 1890 MHz, 6800 MHz, 199.58 W, 55
2, 1890 MHz, 6800 MHz, 206.01 W, 57
3, 1860 MHz, 6800 MHz, 187.77 W, 59
0, 1890 MHz, 6800 MHz, 184.65 W, 57
1, 1890 MHz, 6800 MHz, 198.07 W, 55
2, 1890 MHz, 6800 MHz, 205.69 W, 57
3, 1860 MHz, 6800 MHz, 188.86 W, 60
0, 1890 MHz, 6800 MHz, 185.46 W, 57
1, 1890 MHz, 6800 MHz, 198.54 W, 55
2, 1890 MHz, 6800 MHz, 184.92 W, 57
3, 1860 MHz, 6800 MHz, 189.44 W, 60
0, 1890 MHz, 6800 MHz, 100.56 W, 57
1, 1890 MHz, 6800 MHz, 114.54 W, 55
2, 1890 MHz, 6800 MHz, 168.45 W, 57
3, 1860 MHz, 6800 MHz, 123.96 W, 60
0, 1875 MHz, 6800 MHz, 183.70 W, 57
1, 1890 MHz, 6800 MHz, 202.99 W, 55
2, 1890 MHz, 6800 MHz, 168.15 W, 57
3, 1860 MHz, 6800 MHz, 183.07 W, 59
0, 1875 MHz, 6800 MHz, 182.83 W, 58
1, 1890 MHz, 6800 MHz, 202.39 W, 57
2, 1890 MHz, 6800 MHz, 207.47 W, 59
3, 1860 MHz, 6800 MHz, 192.95 W, 62
0, 1875 MHz, 6800 MHz, 182.56 W, 59
1, 1890 MHz, 6800 MHz, 203.97 W, 57
2, 1890 MHz, 6800 MHz, 209.84 W, 59
3, 1860 MHz, 6800 MHz, 191.33 W, 62
0, 1875 MHz, 6800 MHz, 185.32 W, 59
1, 1890 MHz, 6800 MHz, 202.56 W, 58
2, 1890 MHz, 6800 MHz, 210.01 W, 60
3, 1860 MHz, 6800 MHz, 192.43 W, 62
0, 1875 MHz, 6800 MHz, 132.85 W, 59
1, 1890 MHz, 6800 MHz, 140.40 W, 58
2, 1890 MHz, 6800 MHz, 208.26 W, 60
3, 1860 MHz, 6800 MHz, 168.59 W, 62
0, 1875 MHz, 6800 MHz, 184.87 W, 58
1, 1890 MHz, 6800 MHz, 205.06 W, 57
2, 1890 MHz, 6800 MHz, 147.61 W, 58
3, 1845 MHz, 6800 MHz, 157.24 W, 60
0, 1875 MHz, 6800 MHz, 186.63 W, 60
1, 1890 MHz, 6800 MHz, 204.56 W, 59
2, 1890 MHz, 6800 MHz, 211.17 W, 61
3, 1845 MHz, 6800 MHz, 190.69 W, 63
0, 1875 MHz, 6800 MHz, 185.93 W, 60
1, 1890 MHz, 6800 MHz, 206.58 W, 59
2, 1890 MHz, 6800 MHz, 211.27 W, 61
3, 1845 MHz, 6800 MHz, 192.01 W, 63
0, 1875 MHz, 6800 MHz, 187.13 W, 60
1, 1890 MHz, 6800 MHz, 209.85 W, 59
2, 1890 MHz, 6800 MHz, 210.09 W, 61
3, 1845 MHz, 6800 MHz, 192.12 W, 63
0, 1875 MHz, 6800 MHz, 106.42 W, 60
1, 1890 MHz, 6800 MHz, 119.65 W, 59
2, 1875 MHz, 6800 MHz, 183.58 W, 61
3, 1845 MHz, 6800 MHz, 136.09 W, 63
0, 1875 MHz, 6800 MHz, 187.73 W, 60
1, 1890 MHz, 6800 MHz, 211.92 W, 59
2, 1875 MHz, 6800 MHz, 195.74 W, 61
3, 1845 MHz, 6800 MHz, 195.69 W, 63
0, 1875 MHz, 6800 MHz, 187.31 W, 61
1, 1890 MHz, 6800 MHz, 209.54 W, 60
2, 1875 MHz, 6800 MHz, 209.10 W, 62
3, 1845 MHz, 6800 MHz, 195.83 W, 64
0, 1875 MHz, 6800 MHz, 187.38 W, 61
1, 1890 MHz, 6800 MHz, 210.15 W, 60
2, 1875 MHz, 6800 MHz, 212.70 W, 62
3, 1845 MHz, 6800 MHz, 197.93 W, 65
0, 1875 MHz, 6800 MHz, 140.27 W, 61
1, 1890 MHz, 6800 MHz, 145.87 W, 60
2, 1875 MHz, 6800 MHz, 123.89 W, 62
3, 1845 MHz, 6800 MHz, 168.21 W, 64
0, 1875 MHz, 6800 MHz, 190.21 W, 62
1, 1890 MHz, 6800 MHz, 214.17 W, 61
2, 1875 MHz, 6800 MHz, 202.73 W, 62
3, 1845 MHz, 6800 MHz, 196.83 W, 64
0, 1875 MHz, 6800 MHz, 191.05 W, 62
1, 1890 MHz, 6800 MHz, 216.59 W, 62
2, 1875 MHz, 6800 MHz, 213.83 W, 63
3, 1845 MHz, 6800 MHz, 200.37 W, 65
0, 1875 MHz, 6800 MHz, 193.00 W, 63
1, 1890 MHz, 6800 MHz, 217.51 W, 62
2, 1875 MHz, 6800 MHz, 215.82 W, 64
3, 1845 MHz, 6800 MHz, 199.93 W, 66
0, 1860 MHz, 6800 MHz, 185.41 W, 63
1, 1890 MHz, 6800 MHz, 218.08 W, 62
2, 1875 MHz, 6800 MHz, 216.83 W, 64
3, 1845 MHz, 6800 MHz, 201.21 W, 66
0, 1860 MHz, 6800 MHz, 192.23 W, 63
1, 1890 MHz, 6800 MHz, 218.25 W, 63
2, 1875 MHz, 6800 MHz, 216.06 W, 64
3, 1845 MHz, 6800 MHz, 200.51 W, 66
0, 1860 MHz, 6800 MHz, 192.50 W, 64
1, 1890 MHz, 6800 MHz, 220.37 W, 63
2, 1875 MHz, 6800 MHz, 216.54 W, 65
3, 1845 MHz, 6800 MHz, 202.06 W, 67
0, 1860 MHz, 6800 MHz, 192.97 W, 64
1, 1890 MHz, 6800 MHz, 219.16 W, 63
2, 1875 MHz, 6800 MHz, 219.44 W, 65
3, 1845 MHz, 6800 MHz, 202.62 W, 67
0, 1860 MHz, 6800 MHz, 191.22 W, 64
1, 1890 MHz, 6800 MHz, 218.90 W, 64
2, 1875 MHz, 6800 MHz, 218.74 W, 65
3, 1845 MHz, 6800 MHz, 200.67 W, 67
0, 1860 MHz, 6800 MHz, 192.07 W, 64
1, 1890 MHz, 6800 MHz, 219.31 W, 64
2, 1875 MHz, 6800 MHz, 219.62 W, 65
3, 1845 MHz, 6800 MHz, 202.32 W, 67
0, 1860 MHz, 6800 MHz, 192.21 W, 64
1, 1890 MHz, 6800 MHz, 221.54 W, 64
2, 1875 MHz, 6800 MHz, 221.28 W, 65
3, 1845 MHz, 6800 MHz, 203.12 W, 68
0, 1860 MHz, 6800 MHz, 196.47 W, 64
1, 1890 MHz, 6800 MHz, 228.67 W, 64
2, 1875 MHz, 6800 MHz, 221.11 W, 66
3, 1845 MHz, 6800 MHz, 204.77 W, 68
0, 1860 MHz, 6800 MHz, 184.56 W, 65
1, 1890 MHz, 6800 MHz, 224.15 W, 64
2, 1875 MHz, 6800 MHz, 227.71 W, 66
3, 1845 MHz, 6800 MHz, 223.23 W, 68
0, 1860 MHz, 6800 MHz, 206.90 W, 65
1, 1875 MHz, 6800 MHz, 233.85 W, 64
2, 1875 MHz, 6800 MHz, 202.55 W, 66
3, 1845 MHz, 6800 MHz, 220.22 W, 68
0, 1860 MHz, 6800 MHz, 165.24 W, 65
1, 1875 MHz, 6800 MHz, 183.75 W, 65
2, 1875 MHz, 6800 MHz, 191.76 W, 66
3, 1845 MHz, 6800 MHz, 176.67 W, 68
0, 1860 MHz, 6800 MHz, 194.58 W, 64
1, 1875 MHz, 6800 MHz, 222.45 W, 63
2, 1860 MHz, 6800 MHz, 173.37 W, 65
3, 1845 MHz, 6800 MHz, 205.61 W, 67
0, 1860 MHz, 6800 MHz, 206.41 W, 66
1, 1875 MHz, 6800 MHz, 222.47 W, 66
2, 1860 MHz, 6800 MHz, 221.30 W, 67
3, 1845 MHz, 6800 MHz, 211.87 W, 70
0, 1860 MHz, 6800 MHz, 91.93 W, 62
1, 1875 MHz, 6800 MHz, 112.82 W, 61
2, 1860 MHz, 6800 MHz, 117.98 W, 63
3, 1845 MHz, 6800 MHz, 110.29 W, 65
0, 1860 MHz, 6800 MHz, 186.87 W, 64
1, 1875 MHz, 6800 MHz, 213.52 W, 63
2, 1860 MHz, 6800 MHz, 213.51 W, 66
3, 1845 MHz, 6800 MHz, 199.53 W, 67
0, 1860 MHz, 6800 MHz, 189.97 W, 65
1, 1875 MHz, 6800 MHz, 216.98 W, 64
2, 1860 MHz, 6800 MHz, 215.76 W, 66
3, 1845 MHz, 6800 MHz, 203.99 W, 68
0, 1860 MHz, 6800 MHz, 189.46 W, 65
1, 1875 MHz, 6800 MHz, 216.46 W, 64
2, 1860 MHz, 6800 MHz, 214.26 W, 66
3, 1845 MHz, 6800 MHz, 203.99 W, 68
0, 1860 MHz, 6800 MHz, 141.23 W, 65
1, 1875 MHz, 6800 MHz, 174.87 W, 64
2, 1860 MHz, 6800 MHz, 147.80 W, 66
3, 1845 MHz, 6800 MHz, 196.56 W, 68
0, 1860 MHz, 6800 MHz, 174.20 W, 63
1, 1875 MHz, 6800 MHz, 181.33 W, 63
2, 1860 MHz, 6800 MHz, 210.37 W, 65
3, 1845 MHz, 6800 MHz, 134.32 W, 67
0, 1860 MHz, 6800 MHz, 192.08 W, 65
1, 1875 MHz, 6800 MHz, 219.10 W, 65
2, 1860 MHz, 6800 MHz, 217.72 W, 66
3, 1845 MHz, 6800 MHz, 204.60 W, 68
0, 1860 MHz, 6800 MHz, 191.14 W, 65
1, 1875 MHz, 6800 MHz, 217.06 W, 65
2, 1860 MHz, 6800 MHz, 218.21 W, 67
3, 1845 MHz, 6800 MHz, 203.22 W, 69
0, 1860 MHz, 6800 MHz, 192.24 W, 65
1, 1875 MHz, 6800 MHz, 217.74 W, 65
2, 1860 MHz, 6800 MHz, 219.48 W, 67
3, 1845 MHz, 6800 MHz, 205.26 W, 69
0, 1860 MHz, 6800 MHz, 188.91 W, 65
1, 1875 MHz, 6800 MHz, 218.47 W, 65
2, 1860 MHz, 6800 MHz, 205.42 W, 67
3, 1845 MHz, 6800 MHz, 204.35 W, 69
0, 1860 MHz, 6800 MHz, 134.70 W, 65
1, 1875 MHz, 6800 MHz, 141.16 W, 64
2, 1860 MHz, 6800 MHz, 173.72 W, 66
3, 1845 MHz, 6800 MHz, 128.52 W, 68
0, 1860 MHz, 6800 MHz, 192.50 W, 65
1, 1875 MHz, 6800 MHz, 219.56 W, 64
2, 1860 MHz, 6800 MHz, 203.23 W, 66
3, 1845 MHz, 6800 MHz, 208.08 W, 68
0, 1860 MHz, 6800 MHz, 192.43 W, 66
1, 1875 MHz, 6800 MHz, 222.54 W, 65
2, 1860 MHz, 6800 MHz, 221.76 W, 67
3, 1845 MHz, 6800 MHz, 207.40 W, 69
0, 1860 MHz, 6800 MHz, 192.68 W, 66
1, 1875 MHz, 6800 MHz, 222.60 W, 65
2, 1860 MHz, 6800 MHz, 218.82 W, 67
3, 1845 MHz, 6800 MHz, 206.34 W, 69
0, 1860 MHz, 6800 MHz, 169.37 W, 66
1, 1875 MHz, 6800 MHz, 208.69 W, 65
2, 1860 MHz, 6800 MHz, 181.64 W, 67
3, 1845 MHz, 6800 MHz, 206.57 W, 69
0, 1860 MHz, 6800 MHz, 183.02 W, 64
1, 1875 MHz, 6800 MHz, 186.77 W, 64
2, 1860 MHz, 6800 MHz, 131.37 W, 66
3, 1845 MHz, 6800 MHz, 144.13 W, 68
0, 1860 MHz, 6800 MHz, 194.73 W, 66
1, 1875 MHz, 6800 MHz, 222.55 W, 66
2, 1860 MHz, 6800 MHz, 221.46 W, 68
3, 1845 MHz, 6800 MHz, 208.76 W, 70
0, 1860 MHz, 6800 MHz, 193.68 W, 66
1, 1875 MHz, 6800 MHz, 221.53 W, 66
2, 1860 MHz, 6800 MHz, 221.98 W, 68
3, 1845 MHz, 6800 MHz, 208.33 W, 70
0, 1860 MHz, 6800 MHz, 193.88 W, 66
1, 1875 MHz, 6800 MHz, 222.14 W, 66
2, 1860 MHz, 6800 MHz, 220.80 W, 68
3, 1845 MHz, 6800 MHz, 208.72 W, 70
0, 1860 MHz, 6800 MHz, 208.11 W, 67
1, 1875 MHz, 6800 MHz, 233.19 W, 66
2, 1860 MHz, 6800 MHz, 235.86 W, 68
3, 1845 MHz, 6800 MHz, 213.44 W, 70
0, 1860 MHz, 6800 MHz, 169.70 W, 67
1, 1875 MHz, 6800 MHz, 220.32 W, 66
2, 1860 MHz, 6800 MHz, 229.50 W, 68
3, 1845 MHz, 6800 MHz, 225.63 W, 70
0, 1860 MHz, 6800 MHz, 208.50 W, 67
1, 1875 MHz, 6800 MHz, 231.25 W, 66
2, 1860 MHz, 6800 MHz, 237.17 W, 68
3, 1845 MHz, 6800 MHz, 201.58 W, 71
0, 1860 MHz, 6800 MHz, 210.15 W, 67
1, 1875 MHz, 6800 MHz, 237.58 W, 66
2, 1860 MHz, 6800 MHz, 234.01 W, 69
3, 1845 MHz, 6800 MHz, 221.52 W, 71
0, 1860 MHz, 6800 MHz, 178.73 W, 67
1, 1875 MHz, 6800 MHz, 234.45 W, 67
2, 1860 MHz, 6800 MHz, 197.25 W, 69
3, 1845 MHz, 6800 MHz, 226.72 W, 71
0, 1860 MHz, 6800 MHz, 209.56 W, 67
1, 1875 MHz, 6800 MHz, 193.19 W, 67
2, 1860 MHz, 6800 MHz, 236.02 W, 69
3, 1845 MHz, 6800 MHz, 191.82 W, 71
0, 1860 MHz, 6800 MHz, 183.06 W, 67
1, 1875 MHz, 6800 MHz, 241.85 W, 67
2, 1860 MHz, 6800 MHz, 219.16 W, 69
3, 1845 MHz, 6800 MHz, 223.87 W, 71
0, 1860 MHz, 6800 MHz, 173.48 W, 68
1, 1875 MHz, 6800 MHz, 197.81 W, 67
2, 1860 MHz, 6800 MHz, 191.31 W, 69
3, 1845 MHz, 6800 MHz, 202.30 W, 71
0, 1860 MHz, 6800 MHz, 201.08 W, 67
1, 1875 MHz, 6800 MHz, 187.07 W, 67
2, 1860 MHz, 6800 MHz, 208.76 W, 69
3, 1845 MHz, 6800 MHz, 175.51 W, 71
0, 1860 MHz, 6800 MHz, 198.84 W, 67
1, 1875 MHz, 6800 MHz, 227.93 W, 66
2, 1860 MHz, 6800 MHz, 227.07 W, 68
3, 1845 MHz, 6800 MHz, 209.34 W, 70
0, 1860 MHz, 6800 MHz, 199.12 W, 68
1, 1875 MHz, 6800 MHz, 227.93 W, 67
2, 1860 MHz, 6800 MHz, 227.91 W, 69
3, 1845 MHz, 6800 MHz, 214.48 W, 72
0, 1860 MHz, 6800 MHz, 199.90 W, 68
1, 1875 MHz, 6800 MHz, 227.30 W, 67
2, 1860 MHz, 6800 MHz, 227.11 W, 70
3, 1845 MHz, 6800 MHz, 216.06 W, 72
0, 1860 MHz, 6800 MHz, 200.41 W, 68
1, 1875 MHz, 6800 MHz, 228.80 W, 68
2, 1860 MHz, 6800 MHz, 227.35 W, 70
3, 1845 MHz, 6800 MHz, 215.95 W, 72
0, 1860 MHz, 6800 MHz, 199.00 W, 68
1, 1875 MHz, 6800 MHz, 230.56 W, 68
2, 1860 MHz, 6800 MHz, 227.06 W, 70
3, 1845 MHz, 6800 MHz, 216.43 W, 72
0, 1845 MHz, 6800 MHz, 199.81 W, 68
1, 1875 MHz, 6800 MHz, 229.75 W, 68
2, 1860 MHz, 6800 MHz, 230.40 W, 70
3, 1845 MHz, 6800 MHz, 214.54 W, 72
0, 1845 MHz, 6800 MHz, 202.02 W, 69
1, 1875 MHz, 6800 MHz, 220.13 W, 68
2, 1860 MHz, 6800 MHz, 225.86 W, 70
3, 1830 MHz, 6800 MHz, 206.97 W, 72
0, 1845 MHz, 6800 MHz, 98.02 W, 65
1, 1875 MHz, 6800 MHz, 119.55 W, 64
2, 1860 MHz, 6800 MHz, 122.66 W, 67
3, 1830 MHz, 6800 MHz, 107.28 W, 68
0, 1845 MHz, 6800 MHz, 92.71 W, 63
1, 1875 MHz, 6800 MHz, 112.69 W, 62
2, 1860 MHz, 6800 MHz, 121.04 W, 65
3, 1845 MHz, 6800 MHz, 104.75 W, 66
0, 1845 MHz, 6800 MHz, 191.53 W, 67
1, 1875 MHz, 6800 MHz, 219.78 W, 66
2, 1860 MHz, 6800 MHz, 220.94 W, 69
3, 1845 MHz, 6800 MHz, 206.95 W, 71
0, 1845 MHz, 6800 MHz, 193.40 W, 68
1, 1875 MHz, 6800 MHz, 221.37 W, 67
2, 1860 MHz, 6800 MHz, 222.82 W, 69
3, 1845 MHz, 6800 MHz, 211.71 W, 71
0, 1845 MHz, 6800 MHz, 194.70 W, 68
1, 1875 MHz, 6800 MHz, 222.82 W, 67
2, 1860 MHz, 6800 MHz, 223.45 W, 70
3, 1845 MHz, 6800 MHz, 210.03 W, 72
0, 1845 MHz, 6800 MHz, 194.30 W, 67
1, 1875 MHz, 6800 MHz, 211.50 W, 66
2, 1860 MHz, 6800 MHz, 222.78 W, 69
3, 1845 MHz, 6800 MHz, 190.14 W, 71
0, 1845 MHz, 6800 MHz, 196.61 W, 68
1, 1875 MHz, 6800 MHz, 188.12 W, 67
2, 1860 MHz, 6800 MHz, 197.70 W, 70
3, 1845 MHz, 6800 MHz, 179.06 W, 72
0, 1845 MHz, 6800 MHz, 200.73 W, 68
1, 1875 MHz, 6800 MHz, 194.60 W, 67
2, 1860 MHz, 6800 MHz, 188.04 W, 70
3, 1845 MHz, 6800 MHz, 188.44 W, 72
0, 1845 MHz, 6800 MHz, 208.39 W, 68
1, 1875 MHz, 6800 MHz, 230.51 W, 67
2, 1860 MHz, 6800 MHz, 231.22 W, 70
3, 1845 MHz, 6800 MHz, 228.79 W, 72
0, 1845 MHz, 6800 MHz, 202.69 W, 68
1, 1875 MHz, 6800 MHz, 237.71 W, 67
2, 1860 MHz, 6800 MHz, 225.13 W, 70
3, 1845 MHz, 6800 MHz, 214.69 W, 72
0, 1845 MHz, 6800 MHz, 196.88 W, 68
1, 1875 MHz, 6800 MHz, 224.18 W, 67
2, 1860 MHz, 6800 MHz, 227.38 W, 70
3, 1830 MHz, 6800 MHz, 209.51 W, 72
0, 1845 MHz, 6800 MHz, 195.40 W, 68
1, 1875 MHz, 6800 MHz, 225.21 W, 68
2, 1860 MHz, 6800 MHz, 226.99 W, 70
3, 1830 MHz, 6800 MHz, 210.29 W, 72
0, 1845 MHz, 6800 MHz, 196.30 W, 68
1, 1875 MHz, 6800 MHz, 223.68 W, 68
2, 1860 MHz, 6800 MHz, 225.74 W, 70
