0, 1350 MHz, 6800 MHz, 74.70 W, 54
1, 1350 MHz, 6800 MHz, 75.43 W, 50
2, 1350 MHz, 6800 MHz, 81.85 W, 54
3, 1350 MHz, 6800 MHz, 68.16 W, 56
0, 1875 MHz, 6800 MHz, 131.95 W, 56
1, 1905 MHz, 6800 MHz, 140.60 W, 54
2, 1890 MHz, 6800 MHz, 169.74 W, 58
3, 1860 MHz, 6800 MHz, 182.77 W, 61
0, 1875 MHz, 6800 MHz, 184.07 W, 59
1, 1890 MHz, 6800 MHz, 202.86 W, 56
2, 1890 MHz, 6800 MHz, 207.55 W, 60
3, 1860 MHz, 6800 MHz, 192.95 W, 62
0, 1875 MHz, 6800 MHz, 101.35 W, 57
1, 1890 MHz, 6800 MHz, 115.72 W, 54
2, 1875 MHz, 6800 MHz, 120.42 W, 58
3, 1860 MHz, 6800 MHz, 101.88 W, 60
0, 1875 MHz, 6800 MHz, 85.96 W, 57
1, 1890 MHz, 6800 MHz, 126.06 W, 54
2, 1875 MHz, 6800 MHz, 120.12 W, 58
3, 1860 MHz, 6800 MHz, 134.24 W, 60
0, 1875 MHz, 6800 MHz, 194.24 W, 61
1, 1890 MHz, 6800 MHz, 207.64 W, 58
2, 1875 MHz, 6800 MHz, 214.59 W, 62
3, 1845 MHz, 6800 MHz, 197.22 W, 64
0, 1875 MHz, 6800 MHz, 202.09 W, 62
1, 1890 MHz, 6800 MHz, 208.67 W, 59
2, 1875 MHz, 6800 MHz, 215.84 W, 62
3, 1845 MHz, 6800 MHz, 199.67 W, 65
0, 1875 MHz, 6800 MHz, 152.70 W, 60
1, 1890 MHz, 6800 MHz, 209.24 W, 57
2, 1875 MHz, 6800 MHz, 132.48 W, 60
3, 1845 MHz, 6800 MHz, 171.13 W, 63
0, 1875 MHz, 6800 MHz, 88.74 W, 57
1, 1890 MHz, 6800 MHz, 106.09 W, 54
2, 1875 MHz, 6800 MHz, 107.76 W, 58
3, 1845 MHz, 6800 MHz, 95.96 W, 60
0, 1875 MHz, 6800 MHz, 190.51 W, 61
1, 1890 MHz, 6800 MHz, 207.19 W, 59
2, 1875 MHz, 6800 MHz, 208.09 W, 62
3, 1845 MHz, 6800 MHz, 199.10 W, 64
0, 1875 MHz, 6800 MHz, 189.56 W, 61
1, 1890 MHz, 6800 MHz, 205.72 W, 59
2, 1875 MHz, 6800 MHz, 208.32 W, 62
3, 1845 MHz, 6800 MHz, 197.96 W, 65
0, 1875 MHz, 6800 MHz, 191.20 W, 61
1, 1890 MHz, 6800 MHz, 165.64 W, 59
2, 1875 MHz, 6800 MHz, 160.85 W, 62
3, 1845 MHz, 6800 MHz, 190.97 W, 65
0, 1875 MHz, 6800 MHz, 106.28 W, 61
1, 1890 MHz, 6800 MHz, 165.26 W, 59
2, 1875 MHz, 6800 MHz, 149.99 W, 62
3, 1845 MHz, 6800 MHz, 121.57 W, 65
0, 1875 MHz, 6800 MHz, 193.55 W, 62
1, 1890 MHz, 6800 MHz, 177.16 W, 59
2, 1875 MHz, 6800 MHz, 191.73 W, 62
3, 1845 MHz, 6800 MHz, 201.12 W, 64
0, 1875 MHz, 6800 MHz, 193.67 W, 63
1, 1890 MHz, 6800 MHz, 211.68 W, 61
2, 1875 MHz, 6800 MHz, 212.40 W, 64
3, 1845 MHz, 6800 MHz, 198.76 W, 66
0, 1875 MHz, 6800 MHz, 193.40 W, 63
1, 1875 MHz, 6800 MHz, 209.05 W, 61
2, 1875 MHz, 6800 MHz, 210.45 W, 64
3, 1845 MHz, 6800 MHz, 199.36 W, 66
0, 1875 MHz, 6800 MHz, 192.23 W, 63
1, 1875 MHz, 6800 MHz, 206.37 W, 61
2, 1875 MHz, 6800 MHz, 212.29 W, 64
3, 1845 MHz, 6800 MHz, 198.04 W, 66
0, 1875 MHz, 6800 MHz, 154.85 W, 63
1, 1875 MHz, 6800 MHz, 131.77 W, 61
2, 1875 MHz, 6800 MHz, 213.45 W, 64
3, 1845 MHz, 6800 MHz, 146.72 W, 66
0, 1875 MHz, 6800 MHz, 197.95 W, 62
1, 1875 MHz, 6800 MHz, 146.78 W, 60
2, 1875 MHz, 6800 MHz, 170.37 W, 63
3, 1845 MHz, 6800 MHz, 112.59 W, 65
0, 1875 MHz, 6800 MHz, 194.79 W, 64
1, 1875 MHz, 6800 MHz, 209.87 W, 62
2, 1875 MHz, 6800 MHz, 216.97 W, 65
3, 1845 MHz, 6800 MHz, 201.26 W, 67
0, 1875 MHz, 6800 MHz, 195.68 W, 64
1, 1875 MHz, 6800 MHz, 210.60 W, 62
2, 1875 MHz, 6800 MHz, 217.28 W, 65
3, 1845 MHz, 6800 MHz, 201.56 W, 68
0, 1875 MHz, 6800 MHz, 195.29 W, 64
1, 1875 MHz, 6800 MHz, 209.59 W, 62
2, 1875 MHz, 6800 MHz, 217.52 W, 65
3, 1845 MHz, 6800 MHz, 200.15 W, 68
0, 1875 MHz, 6800 MHz, 116.27 W, 64
1, 1875 MHz, 6800 MHz, 191.84 W, 62
2, 1860 MHz, 6800 MHz, 178.34 W, 65
3, 1845 MHz, 6800 MHz, 113.27 W, 67
0, 1875 MHz, 6800 MHz, 197.12 W, 64
1, 1875 MHz, 6800 MHz, 191.20 W, 62
2, 1860 MHz, 6800 MHz, 211.19 W, 64
3, 1845 MHz, 6800 MHz, 155.74 W, 66
0, 1875 MHz, 6800 MHz, 198.47 W, 65
1, 1875 MHz, 6800 MHz, 215.36 W, 63
2, 1860 MHz, 6800 MHz, 215.13 W, 66
3, 1845 MHz, 6800 MHz, 202.92 W, 68
0, 1875 MHz, 6800 MHz, 198.19 W, 65
1, 1875 MHz, 6800 MHz, 212.29 W, 63
2, 1860 MHz, 6800 MHz, 216.74 W, 66
3, 1845 MHz, 6800 MHz, 201.24 W, 68
0, 1875 MHz, 6800 MHz, 169.46 W, 65
1, 1875 MHz, 6800 MHz, 139.67 W, 63
2, 1860 MHz, 6800 MHz, 217.91 W, 66
3, 1830 MHz, 6800 MHz, 157.67 W, 68
0, 1875 MHz, 6800 MHz, 195.72 W, 65
1, 1875 MHz, 6800 MHz, 186.54 W, 63
2, 1860 MHz, 6800 MHz, 203.80 W, 65
3, 1830 MHz, 6800 MHz, 202.64 W, 67
0, 1860 MHz, 6800 MHz, 194.31 W, 66
1, 1875 MHz, 6800 MHz, 215.45 W, 64
2, 1860 MHz, 6800 MHz, 217.88 W, 67
3, 1830 MHz, 6800 MHz, 202.00 W, 69
0, 1860 MHz, 6800 MHz, 198.24 W, 66
1, 1875 MHz, 6800 MHz, 216.40 W, 65
2, 1860 MHz, 6800 MHz, 218.39 W, 67
3, 1830 MHz, 6800 MHz, 204.68 W, 69
0, 1860 MHz, 6800 MHz, 197.86 W, 67
1, 1875 MHz, 6800 MHz, 217.46 W, 65
2, 1860 MHz, 6800 MHz, 219.96 W, 68
3, 1830 MHz, 6800 MHz, 205.59 W, 70
0, 1860 MHz, 6800 MHz, 198.73 W, 67
1, 1875 MHz, 6800 MHz, 216.34 W, 65
2, 1860 MHz, 6800 MHz, 220.47 W, 68
3, 1830 MHz, 6800 MHz, 205.06 W, 70
0, 1860 MHz, 6800 MHz, 201.93 W, 67
1, 1875 MHz, 6800 MHz, 219.07 W, 65
2, 1860 MHz, 6800 MHz, 221.96 W, 68
3, 1830 MHz, 6800 MHz, 206.59 W, 70
0, 1860 MHz, 6800 MHz, 202.57 W, 67
1, 1875 MHz, 6800 MHz, 221.78 W, 65
2, 1860 MHz, 6800 MHz, 219.86 W, 68
3, 1830 MHz, 6800 MHz, 207.68 W, 70
0, 1860 MHz, 6800 MHz, 204.26 W, 67
1, 1875 MHz, 6800 MHz, 220.52 W, 65
2, 1860 MHz, 6800 MHz, 222.91 W, 68
3, 1830 MHz, 6800 MHz, 205.81 W, 71
0, 1860 MHz, 6800 MHz, 203.41 W, 68
1, 1875 MHz, 6800 MHz, 218.05 W, 66
2, 1860 MHz, 6800 MHz, 222.52 W, 68
3, 1830 MHz, 6800 MHz, 208.85 W, 71
0, 1860 MHz, 6800 MHz, 204.30 W, 68
1, 1875 MHz, 6800 MHz, 222.28 W, 66
2, 1860 MHz, 6800 MHz, 224.90 W, 69
