0, 1350 MHz, 6800 MHz, 60.02 W, 53
1, 1350 MHz, 6800 MHz, 75.19 W, 49
2, 1350 MHz, 6800 MHz, 81.61 W, 54
3, 1350 MHz, 6800 MHz, 68.26 W, 55
0, 1890 MHz, 6800 MHz, 103.71 W, 56
1, 1905 MHz, 6800 MHz, 109.47 W, 52
2, 1710 MHz, 6800 MHz, 159.33 W, 56
3, 1860 MHz, 6800 MHz, 156.67 W, 59
0, 1875 MHz, 6800 MHz, 177.16 W, 59
1, 1890 MHz, 6800 MHz, 198.76 W, 56
2, 1875 MHz, 6800 MHz, 208.98 W, 60
3, 1860 MHz, 6800 MHz, 195.38 W, 62
0, 1875 MHz, 6800 MHz, 85.60 W, 56
1, 1890 MHz, 6800 MHz, 105.25 W, 53
2, 1875 MHz, 6800 MHz, 106.83 W, 57
3, 1860 MHz, 6800 MHz, 95.20 W, 59
0, 1875 MHz, 6800 MHz, 179.30 W, 59
1, 1890 MHz, 6800 MHz, 186.60 W, 56
2, 1875 MHz, 6800 MHz, 188.48 W, 60
3, 1860 MHz, 6800 MHz, 191.81 W, 62
0, 1875 MHz, 6800 MHz, 196.02 W, 61
1, 1890 MHz, 6800 MHz, 203.29 W, 58
2, 1875 MHz, 6800 MHz, 209.58 W, 61
3, 1860 MHz, 6800 MHz, 201.03 W, 64
0, 1875 MHz, 6800 MHz, 185.51 W, 61
1, 1890 MHz, 6800 MHz, 198.71 W, 58
2, 1875 MHz, 6800 MHz, 211.30 W, 62
3, 1860 MHz, 6800 MHz, 200.90 W, 65
0, 1875 MHz, 6800 MHz, 88.90 W, 58
1, 1890 MHz, 6800 MHz, 107.06 W, 55
2, 1875 MHz, 6800 MHz, 111.20 W, 59
3, 1860 MHz, 6800 MHz, 102.81 W, 61
0, 1875 MHz, 6800 MHz, 87.22 W, 57
1, 1890 MHz, 6800 MHz, 105.82 W, 54
2, 1875 MHz, 6800 MHz, 108.86 W, 58
3, 1860 MHz, 6800 MHz, 97.56 W, 60
0, 1875 MHz, 6800 MHz, 187.38 W, 61
1, 1890 MHz, 6800 MHz, 202.38 W, 58
2, 1875 MHz, 6800 MHz, 209.75 W, 62
3, 1860 MHz, 6800 MHz, 194.63 W, 64
0, 1875 MHz, 6800 MHz, 200.06 W, 61
1, 1890 MHz, 6800 MHz, 217.18 W, 59
2, 1875 MHz, 6800 MHz, 221.27 W, 62
3, 1860 MHz, 6800 MHz, 221.08 W, 65
0, 1875 MHz, 6800 MHz, 193.94 W, 62
1, 1890 MHz, 6800 MHz, 209.43 W, 59
2, 1875 MHz, 6800 MHz, 211.37 W, 63
3, 1860 MHz, 6800 MHz, 203.85 W, 66
0, 1875 MHz, 6800 MHz, 189.29 W, 62
1, 1890 MHz, 6800 MHz, 200.94 W, 60
2, 1875 MHz, 6800 MHz, 213.68 W, 63
3, 1860 MHz, 6800 MHz, 202.78 W, 66
0, 1875 MHz, 6800 MHz, 184.10 W, 62
1, 1875 MHz, 6800 MHz, 199.27 W, 60
2, 1875 MHz, 6800 MHz, 211.39 W, 63
3, 1845 MHz, 6800 MHz, 203.70 W, 66
0, 1875 MHz, 6800 MHz, 188.56 W, 62
1, 1875 MHz, 6800 MHz, 200.80 W, 60
2, 1875 MHz, 6800 MHz, 210.00 W, 64
3, 1845 MHz, 6800 MHz, 203.02 W, 66
0, 1875 MHz, 6800 MHz, 186.10 W, 63
1, 1875 MHz, 6800 MHz, 207.60 W, 61
2, 1875 MHz, 6800 MHz, 215.39 W, 64
3, 1845 MHz, 6800 MHz, 195.96 W, 67
0, 1875 MHz, 6800 MHz, 187.01 W, 63
1, 1875 MHz, 6800 MHz, 205.65 W, 61
2, 1875 MHz, 6800 MHz, 211.38 W, 64
3, 1845 MHz, 6800 MHz, 205.53 W, 67
0, 1875 MHz, 6800 MHz, 190.66 W, 64
1, 1875 MHz, 6800 MHz, 208.79 W, 62
2, 1875 MHz, 6800 MHz, 208.83 W, 64
3, 1845 MHz, 6800 MHz, 201.04 W, 67
0, 1875 MHz, 6800 MHz, 185.63 W, 64
1, 1875 MHz, 6800 MHz, 206.46 W, 62
2, 1860 MHz, 6800 MHz, 205.91 W, 65
3, 1845 MHz, 6800 MHz, 201.00 W, 68
0, 1860 MHz, 6800 MHz, 208.52 W, 62
1, 1875 MHz, 6800 MHz, 147.75 W, 60
2, 1860 MHz, 6800 MHz, 174.59 W, 63
3, 1845 MHz, 6800 MHz, 136.83 W, 66
0, 1860 MHz, 6800 MHz, 190.76 W, 64
1, 1875 MHz, 6800 MHz, 207.31 W, 62
2, 1860 MHz, 6800 MHz, 210.87 W, 65
3, 1845 MHz, 6800 MHz, 203.53 W, 68
0, 1860 MHz, 6800 MHz, 188.69 W, 64
1, 1845 MHz, 6800 MHz, 155.56 W, 62
2, 1860 MHz, 6800 MHz, 234.76 W, 65
3, 1845 MHz, 6800 MHz, 154.86 W, 68
0, 1860 MHz, 6800 MHz, 190.38 W, 65
1, 1875 MHz, 6800 MHz, 204.68 W, 63
2, 1860 MHz, 6800 MHz, 213.88 W, 66
3, 1845 MHz, 6800 MHz, 200.91 W, 69
0, 1860 MHz, 6800 MHz, 204.86 W, 65
1, 1875 MHz, 6800 MHz, 199.64 W, 63
2, 1860 MHz, 6800 MHz, 213.35 W, 66
3, 1845 MHz, 6800 MHz, 211.29 W, 69
0, 1860 MHz, 6800 MHz, 194.84 W, 65
1, 1875 MHz, 6800 MHz, 214.30 W, 63
2, 1860 MHz, 6800 MHz, 209.34 W, 66
3, 1845 MHz, 6800 MHz, 199.57 W, 69
0, 1860 MHz, 6800 MHz, 200.72 W, 65
1, 1875 MHz, 6800 MHz, 216.60 W, 63
2, 1860 MHz, 6800 MHz, 210.30 W, 66
3, 1845 MHz, 6800 MHz, 212.83 W, 69
0, 1860 MHz, 6800 MHz, 193.12 W, 66
