0, 1350 MHz, 6800 MHz, 60.23 W, 53
1, 1350 MHz, 6800 MHz, 75.26 W, 50
2, 1350 MHz, 6800 MHz, 81.85 W, 54
3, 1350 MHz, 6800 MHz, 67.68 W, 55
0, 1890 MHz, 6800 MHz, 101.72 W, 56
1, 1905 MHz, 6800 MHz, 182.54 W, 53
2, 1890 MHz, 6800 MHz, 188.47 W, 58
3, 1860 MHz, 6800 MHz, 176.50 W, 60
0, 1875 MHz, 6800 MHz, 179.55 W, 59
1, 1905 MHz, 6800 MHz, 207.46 W, 57
2, 1875 MHz, 6800 MHz, 202.60 W, 60
3, 1860 MHz, 6800 MHz, 194.34 W, 62
0, 1875 MHz, 6800 MHz, 85.58 W, 56
1, 1905 MHz, 6800 MHz, 106.22 W, 53
2, 1875 MHz, 6800 MHz, 107.29 W, 57
3, 1860 MHz, 6800 MHz, 95.78 W, 59
0, 1875 MHz, 6800 MHz, 189.03 W, 60
1, 1905 MHz, 6800 MHz, 196.53 W, 57
2, 1875 MHz, 6800 MHz, 197.60 W, 60
3, 1860 MHz, 6800 MHz, 186.96 W, 63
0, 1875 MHz, 6800 MHz, 193.71 W, 61
1, 1890 MHz, 6800 MHz, 204.64 W, 59
2, 1875 MHz, 6800 MHz, 207.64 W, 62
3, 1860 MHz, 6800 MHz, 198.77 W, 65
0, 1875 MHz, 6800 MHz, 192.95 W, 62
1, 1890 MHz, 6800 MHz, 206.00 W, 59
2, 1875 MHz, 6800 MHz, 209.79 W, 62
3, 1860 MHz, 6800 MHz, 200.29 W, 65
0, 1875 MHz, 6800 MHz, 89.57 W, 58
1, 1890 MHz, 6800 MHz, 107.75 W, 56
2, 1875 MHz, 6800 MHz, 112.02 W, 59
3, 1860 MHz, 6800 MHz, 101.59 W, 62
0, 1875 MHz, 6800 MHz, 87.14 W, 57
1, 1890 MHz, 6800 MHz, 106.70 W, 54
2, 1875 MHz, 6800 MHz, 109.54 W, 58
3, 1860 MHz, 6800 MHz, 97.90 W, 60
0, 1875 MHz, 6800 MHz, 181.46 W, 61
1, 1890 MHz, 6800 MHz, 211.81 W, 59
2, 1875 MHz, 6800 MHz, 203.82 W, 62
3, 1860 MHz, 6800 MHz, 194.64 W, 65
0, 1875 MHz, 6800 MHz, 200.59 W, 61
1, 1890 MHz, 6800 MHz, 216.87 W, 59
2, 1875 MHz, 6800 MHz, 187.14 W, 62
3, 1860 MHz, 6800 MHz, 209.80 W, 65
0, 1875 MHz, 6800 MHz, 187.45 W, 62
1, 1890 MHz, 6800 MHz, 212.79 W, 60
2, 1875 MHz, 6800 MHz, 212.56 W, 63
3, 1860 MHz, 6800 MHz, 202.00 W, 66
0, 1875 MHz, 6800 MHz, 192.54 W, 62
1, 1890 MHz, 6800 MHz, 209.79 W, 60
2, 1875 MHz, 6800 MHz, 208.90 W, 63
3, 1860 MHz, 6800 MHz, 199.90 W, 66
0, 1875 MHz, 6800 MHz, 190.53 W, 63
