0, 1350 MHz, 6800 MHz, 57.28 W, 48
1, 1350 MHz, 6800 MHz, 73.38 W, 46
2, 1350 MHz, 6800 MHz, 77.79 W, 49
3, 1350 MHz, 6800 MHz, 64.73 W, 51
0, 1500 MHz, 6800 MHz, 113.60 W, 51
1, 1860 MHz, 6800 MHz, 120.37 W, 48
2, 1815 MHz, 6800 MHz, 124.11 W, 51
3, 1875 MHz, 6800 MHz, 118.89 W, 55
0, 1890 MHz, 6800 MHz, 203.72 W, 56
1, 1905 MHz, 6800 MHz, 220.13 W, 54
2, 1890 MHz, 6800 MHz, 219.03 W, 56
3, 1860 MHz, 6800 MHz, 212.65 W, 59
0, 1890 MHz, 6800 MHz, 84.29 W, 52
1, 1905 MHz, 6800 MHz, 104.11 W, 50
2, 1890 MHz, 6800 MHz, 105.06 W, 53
3, 1860 MHz, 6800 MHz, 92.65 W, 55
0, 1890 MHz, 6800 MHz, 188.82 W, 56
1, 1905 MHz, 6800 MHz, 187.02 W, 53
2, 1890 MHz, 6800 MHz, 198.74 W, 56
3, 1860 MHz, 6800 MHz, 178.32 W, 59
0, 1890 MHz, 6800 MHz, 185.99 W, 58
1, 1905 MHz, 6800 MHz, 203.69 W, 55
2, 1890 MHz, 6800 MHz, 201.28 W, 58
3, 1860 MHz, 6800 MHz, 186.93 W, 61
0, 1890 MHz, 6800 MHz, 197.86 W, 58
1, 1890 MHz, 6800 MHz, 205.77 W, 56
2, 1890 MHz, 6800 MHz, 210.00 W, 58
3, 1860 MHz, 6800 MHz, 194.05 W, 61
0, 1890 MHz, 6800 MHz, 85.88 W, 54
1, 1890 MHz, 6800 MHz, 105.26 W, 52
2, 1890 MHz, 6800 MHz, 106.87 W, 55
3, 1860 MHz, 6800 MHz, 93.07 W, 57
0, 1890 MHz, 6800 MHz, 164.18 W, 56
1, 1890 MHz, 6800 MHz, 145.55 W, 54
2, 1890 MHz, 6800 MHz, 170.65 W, 57
3, 1860 MHz, 6800 MHz, 112.25 W, 59
0, 1890 MHz, 6800 MHz, 208.57 W, 59
1, 1890 MHz, 6800 MHz, 225.38 W, 57
2, 1890 MHz, 6800 MHz, 228.73 W, 59
3, 1860 MHz, 6800 MHz, 211.73 W, 62
0, 1890 MHz, 6800 MHz, 208.73 W, 59
1, 1890 MHz, 6800 MHz, 227.58 W, 58
2, 1890 MHz, 6800 MHz, 230.39 W, 60
3, 1845 MHz, 6800 MHz, 213.53 W, 63
0, 1890 MHz, 6800 MHz, 209.41 W, 60
1, 1890 MHz, 6800 MHz, 226.03 W, 58
2, 1890 MHz, 6800 MHz, 231.82 W, 60
3, 1845 MHz, 6800 MHz, 213.44 W, 62
0, 1875 MHz, 6800 MHz, 209.11 W, 58
1, 1890 MHz, 6800 MHz, 153.54 W, 57
2, 1890 MHz, 6800 MHz, 234.58 W, 59
3, 1845 MHz, 6800 MHz, 160.63 W, 61
0, 1875 MHz, 6800 MHz, 171.84 W, 60
1, 1890 MHz, 6800 MHz, 140.90 W, 58
2, 1875 MHz, 6800 MHz, 170.07 W, 60
3, 1845 MHz, 6800 MHz, 112.34 W, 63
0, 1875 MHz, 6800 MHz, 209.66 W, 61
1, 1890 MHz, 6800 MHz, 214.30 W, 59
2, 1875 MHz, 6800 MHz, 230.35 W, 61
3, 1845 MHz, 6800 MHz, 183.53 W, 64
0, 1875 MHz, 6800 MHz, 209.56 W, 61
1, 1890 MHz, 6800 MHz, 229.05 W, 60
2, 1875 MHz, 6800 MHz, 230.90 W, 62
3, 1845 MHz, 6800 MHz, 216.66 W, 65
0, 1875 MHz, 6800 MHz, 212.01 W, 62
1, 1890 MHz, 6800 MHz, 229.55 W, 60
2, 1875 MHz, 6800 MHz, 232.95 W, 62
3, 1845 MHz, 6800 MHz, 217.71 W, 65
0, 1875 MHz, 6800 MHz, 211.15 W, 62
1, 1875 MHz, 6800 MHz, 228.09 W, 61
2, 1875 MHz, 6800 MHz, 233.01 W, 63
3, 1845 MHz, 6800 MHz, 217.29 W, 66
0, 1875 MHz, 6800 MHz, 210.98 W, 63
1, 1875 MHz, 6800 MHz, 228.76 W, 61
2, 1875 MHz, 6800 MHz, 233.24 W, 63
3, 1845 MHz, 6800 MHz, 218.94 W, 66
0, 1875 MHz, 6800 MHz, 212.10 W, 63
1, 1875 MHz, 6800 MHz, 231.08 W, 61
2, 1875 MHz, 6800 MHz, 230.98 W, 63
3, 1845 MHz, 6800 MHz, 219.47 W, 65
0, 1875 MHz, 6800 MHz, 214.14 W, 62
1, 1875 MHz, 6800 MHz, 230.45 W, 60
2, 1875 MHz, 6800 MHz, 198.91 W, 62
3, 1845 MHz, 6800 MHz, 219.77 W, 64
0, 1875 MHz, 6800 MHz, 195.25 W, 61
1, 1875 MHz, 6800 MHz, 215.79 W, 60
2, 1875 MHz, 6800 MHz, 181.20 W, 62
3, 1845 MHz, 6800 MHz, 111.45 W, 64
0, 1875 MHz, 6800 MHz, 185.08 W, 62
1, 1875 MHz, 6800 MHz, 204.02 W, 61
2, 1875 MHz, 6800 MHz, 169.16 W, 63
3, 1845 MHz, 6800 MHz, 113.16 W, 65
0, 1875 MHz, 6800 MHz, 140.20 W, 63
1, 1875 MHz, 6800 MHz, 145.79 W, 61
2, 1875 MHz, 6800 MHz, 163.73 W, 64
3, 1845 MHz, 6800 MHz, 113.67 W, 66
0, 1875 MHz, 6800 MHz, 165.76 W, 64
1, 1875 MHz, 6800 MHz, 178.43 W, 62
2, 1875 MHz, 6800 MHz, 217.19 W, 65
3, 1845 MHz, 6800 MHz, 167.13 W, 67
0, 1875 MHz, 6800 MHz, 209.31 W, 65
1, 1875 MHz, 6800 MHz, 233.37 W, 63
2, 1875 MHz, 6800 MHz, 238.38 W, 66
3, 1845 MHz, 6800 MHz, 228.48 W, 68
0, 1860 MHz, 6800 MHz, 215.43 W, 65
1, 1875 MHz, 6800 MHz, 236.48 W, 64
2, 1875 MHz, 6800 MHz, 240.03 W, 66
3, 1845 MHz, 6800 MHz, 230.51 W, 69
0, 1860 MHz, 6800 MHz, 212.65 W, 65
1, 1875 MHz, 6800 MHz, 193.99 W, 63
2, 1860 MHz, 6800 MHz, 232.40 W, 65
3, 1845 MHz, 6800 MHz, 190.60 W, 68
0, 1860 MHz, 6800 MHz, 212.96 W, 65
1, 1875 MHz, 6800 MHz, 233.04 W, 64
2, 1860 MHz, 6800 MHz, 191.79 W, 66
3, 1845 MHz, 6800 MHz, 217.80 W, 69
0, 1860 MHz, 6800 MHz, 213.89 W, 66
1, 1875 MHz, 6800 MHz, 236.18 W, 65
2, 1860 MHz, 6800 MHz, 237.46 W, 67
3, 1845 MHz, 6800 MHz, 230.23 W, 70
0, 1860 MHz, 6800 MHz, 214.10 W, 66
1, 1875 MHz, 6800 MHz, 236.37 W, 65
2, 1860 MHz, 6800 MHz, 238.26 W, 67
3, 1845 MHz, 6800 MHz, 232.44 W, 70
0, 1860 MHz, 6800 MHz, 215.72 W, 66
1, 1875 MHz, 6800 MHz, 237.37 W, 64
2, 1860 MHz, 6800 MHz, 240.11 W, 66
3, 1845 MHz, 6800 MHz, 213.23 W, 69
0, 1860 MHz, 6800 MHz, 208.97 W, 66
1, 1875 MHz, 6800 MHz, 221.75 W, 65
2, 1860 MHz, 6800 MHz, 190.82 W, 67
3, 1845 MHz, 6800 MHz, 177.75 W, 70
0, 1860 MHz, 6800 MHz, 218.39 W, 67
1, 1875 MHz, 6800 MHz, 239.24 W, 65
2, 1860 MHz, 6800 MHz, 194.97 W, 68
3, 1845 MHz, 6800 MHz, 230.15 W, 71
0, 1860 MHz, 6800 MHz, 218.51 W, 67
1, 1875 MHz, 6800 MHz, 245.24 W, 66
2, 1860 MHz, 6800 MHz, 241.73 W, 68
3, 1845 MHz, 6800 MHz, 235.57 W, 71
0, 1860 MHz, 6800 MHz, 216.31 W, 67
1, 1875 MHz, 6800 MHz, 246.48 W, 66
2, 1860 MHz, 6800 MHz, 240.92 W, 68
3, 1845 MHz, 6800 MHz, 232.80 W, 71
0, 1860 MHz, 6800 MHz, 216.85 W, 67
1, 1875 MHz, 6800 MHz, 247.74 W, 67
2, 1860 MHz, 6800 MHz, 243.68 W, 69
3, 1845 MHz, 6800 MHz, 234.47 W, 72
0, 1860 MHz, 6800 MHz, 207.05 W, 68
1, 1875 MHz, 6800 MHz, 216.91 W, 66
2, 1860 MHz, 6800 MHz, 213.82 W, 68
3, 1845 MHz, 6800 MHz, 208.74 W, 71
0, 1860 MHz, 6800 MHz, 95.58 W, 63
1, 1875 MHz, 6800 MHz, 114.72 W, 62
2, 1860 MHz, 6800 MHz, 120.38 W, 64
3, 1845 MHz, 6800 MHz, 108.09 W, 66
0, 1860 MHz, 6800 MHz, 173.90 W, 65
1, 1875 MHz, 6800 MHz, 221.89 W, 63
2, 1860 MHz, 6800 MHz, 128.18 W, 66
3, 1845 MHz, 6800 MHz, 164.92 W, 68
0, 1860 MHz, 6800 MHz, 215.63 W, 67
1, 1875 MHz, 6800 MHz, 240.39 W, 66
2, 1860 MHz, 6800 MHz, 242.06 W, 68
3, 1845 MHz, 6800 MHz, 228.83 W, 71
0, 1860 MHz, 6800 MHz, 217.69 W, 67
1, 1875 MHz, 6800 MHz, 242.17 W, 66
2, 1860 MHz, 6800 MHz, 240.67 W, 68
3, 1845 MHz, 6800 MHz, 234.12 W, 71
0, 1860 MHz, 6800 MHz, 215.12 W, 65
1, 1875 MHz, 6800 MHz, 238.87 W, 64
2, 1860 MHz, 6800 MHz, 210.81 W, 66
3, 1845 MHz, 6800 MHz, 141.41 W, 69
0, 1860 MHz, 6800 MHz, 175.78 W, 66
1, 1875 MHz, 6800 MHz, 166.24 W, 65
2, 1860 MHz, 6800 MHz, 140.78 W, 68
3, 1845 MHz, 6800 MHz, 164.41 W, 70
0, 1860 MHz, 6800 MHz, 215.44 W, 67
1, 1875 MHz, 6800 MHz, 242.80 W, 66
2, 1860 MHz, 6800 MHz, 187.73 W, 68
3, 1845 MHz, 6800 MHz, 231.24 W, 71
0, 1860 MHz, 6800 MHz, 215.01 W, 68
1, 1875 MHz, 6800 MHz, 241.92 W, 66
2, 1860 MHz, 6800 MHz, 244.40 W, 69
3, 1845 MHz, 6800 MHz, 235.53 W, 72
0, 1860 MHz, 6800 MHz, 217.48 W, 68
1, 1875 MHz, 6800 MHz, 244.01 W, 67
2, 1860 MHz, 6800 MHz, 243.73 W, 69
3, 1845 MHz, 6800 MHz, 234.88 W, 72
0, 1860 MHz, 6800 MHz, 215.11 W, 68
1, 1875 MHz, 6800 MHz, 242.45 W, 67
2, 1860 MHz, 6800 MHz, 242.75 W, 69
3, 1845 MHz, 6800 MHz, 238.46 W, 72
0, 1860 MHz, 6800 MHz, 216.25 W, 68
1, 1875 MHz, 6800 MHz, 243.20 W, 66
2, 1860 MHz, 6800 MHz, 245.44 W, 69
3, 1845 MHz, 6800 MHz, 234.98 W, 71
0, 1860 MHz, 6800 MHz, 178.80 W, 66
1, 1875 MHz, 6800 MHz, 181.37 W, 65
2, 1860 MHz, 6800 MHz, 244.07 W, 68
3, 1845 MHz, 6800 MHz, 202.75 W, 70
0, 1860 MHz, 6800 MHz, 153.62 W, 66
1, 1875 MHz, 6800 MHz, 154.22 W, 65
2, 1860 MHz, 6800 MHz, 245.21 W, 67
3, 1845 MHz, 6800 MHz, 178.07 W, 70
0, 1860 MHz, 6800 MHz, 131.69 W, 67
1, 1875 MHz, 6800 MHz, 132.48 W, 66
2, 1860 MHz, 6800 MHz, 149.27 W, 68
3, 1830 MHz, 6800 MHz, 137.35 W, 71
0, 1860 MHz, 6800 MHz, 116.63 W, 67
1, 1875 MHz, 6800 MHz, 137.31 W, 66
2, 1860 MHz, 6800 MHz, 169.65 W, 69
3, 1830 MHz, 6800 MHz, 128.50 W, 71
0, 1860 MHz, 6800 MHz, 114.14 W, 68
1, 1875 MHz, 6800 MHz, 145.68 W, 67
2, 1860 MHz, 6800 MHz, 179.22 W, 69
3, 1830 MHz, 6800 MHz, 228.83 W, 72
0, 1860 MHz, 6800 MHz, 217.77 W, 69
1, 1875 MHz, 6800 MHz, 247.50 W, 68
2, 1860 MHz, 6800 MHz, 246.24 W, 70
3, 1830 MHz, 6800 MHz, 233.96 W, 73
0, 1860 MHz, 6800 MHz, 219.58 W, 69
1, 1875 MHz, 6800 MHz, 249.59 W, 68
2, 1860 MHz, 6800 MHz, 245.37 W, 70
3, 1830 MHz, 6800 MHz, 233.39 W, 73
0, 1860 MHz, 6800 MHz, 223.05 W, 68
1, 1875 MHz, 6800 MHz, 237.62 W, 67
2, 1860 MHz, 6800 MHz, 205.60 W, 70
3, 1830 MHz, 6800 MHz, 236.53 W, 72
0, 1860 MHz, 6800 MHz, 185.32 W, 69
1, 1875 MHz, 6800 MHz, 212.86 W, 68
2, 1860 MHz, 6800 MHz, 244.28 W, 70
3, 1830 MHz, 6800 MHz, 233.57 W, 73
0, 1860 MHz, 6800 MHz, 220.52 W, 69
1, 1875 MHz, 6800 MHz, 248.01 W, 68
2, 1860 MHz, 6800 MHz, 246.95 W, 71
3, 1830 MHz, 6800 MHz, 234.68 W, 73
0, 1860 MHz, 6800 MHz, 219.31 W, 69
1, 1875 MHz, 6800 MHz, 250.78 W, 69
2, 1860 MHz, 6800 MHz, 248.50 W, 71
3, 1830 MHz, 6800 MHz, 236.31 W, 74
0, 1860 MHz, 6800 MHz, 205.76 W, 69
1, 1875 MHz, 6800 MHz, 218.72 W, 68
2, 1860 MHz, 6800 MHz, 190.67 W, 70
3, 1830 MHz, 6800 MHz, 225.82 W, 73
0, 1860 MHz, 6800 MHz, 182.08 W, 69
1, 1875 MHz, 6800 MHz, 208.58 W, 69
2, 1860 MHz, 6800 MHz, 246.04 W, 71
3, 1830 MHz, 6800 MHz, 188.55 W, 74
0, 1860 MHz, 6800 MHz, 217.83 W, 70
1, 1875 MHz, 6800 MHz, 249.76 W, 69
2, 1845 MHz, 6800 MHz, 238.78 W, 71
3, 1830 MHz, 6800 MHz, 235.01 W, 74
0, 1860 MHz, 6800 MHz, 220.85 W, 70
1, 1875 MHz, 6800 MHz, 251.11 W, 69
2, 1845 MHz, 6800 MHz, 242.12 W, 71
3, 1830 MHz, 6800 MHz, 235.87 W, 74
0, 1860 MHz, 6800 MHz, 222.43 W, 70
1, 1875 MHz, 6800 MHz, 252.20 W, 69
2, 1845 MHz, 6800 MHz, 242.92 W, 71
3, 1830 MHz, 6800 MHz, 236.98 W, 74
0, 1845 MHz, 6800 MHz, 219.55 W, 69
1, 1875 MHz, 6800 MHz, 252.12 W, 69
2, 1845 MHz, 6800 MHz, 198.24 W, 71
3, 1830 MHz, 6800 MHz, 190.44 W, 74
0, 1845 MHz, 6800 MHz, 215.60 W, 70
1, 1875 MHz, 6800 MHz, 251.69 W, 69
2, 1845 MHz, 6800 MHz, 198.29 W, 71
3, 1830 MHz, 6800 MHz, 229.47 W, 74
0, 1845 MHz, 6800 MHz, 218.89 W, 70
1, 1875 MHz, 6800 MHz, 255.31 W, 70
2, 1845 MHz, 6800 MHz, 245.82 W, 72
3, 1830 MHz, 6800 MHz, 239.05 W, 75
0, 1845 MHz, 6800 MHz, 210.74 W, 70
1, 1875 MHz, 6800 MHz, 231.26 W, 69
2, 1845 MHz, 6800 MHz, 226.52 W, 71
3, 1830 MHz, 6800 MHz, 216.95 W, 74
0, 1845 MHz, 6800 MHz, 97.99 W, 65
1, 1875 MHz, 6800 MHz, 118.25 W, 64
2, 1845 MHz, 6800 MHz, 121.64 W, 67
3, 1830 MHz, 6800 MHz, 109.37 W, 68
0, 1860 MHz, 6800 MHz, 209.25 W, 68
1, 1875 MHz, 6800 MHz, 238.05 W, 67
2, 1860 MHz, 6800 MHz, 237.55 W, 70
3, 1845 MHz, 6800 MHz, 229.04 W, 72
0, 1860 MHz, 6800 MHz, 219.03 W, 69
1, 1875 MHz, 6800 MHz, 207.58 W, 68
2, 1860 MHz, 6800 MHz, 246.55 W, 70
3, 1830 MHz, 6800 MHz, 195.70 W, 73
