0, 1890 MHz, 6800 MHz, 86.67 W, 55
1, 1890 MHz, 6800 MHz, 105.01 W, 52
2, 1890 MHz, 6800 MHz, 108.14 W, 56
3, 1860 MHz, 6800 MHz, 94.70 W, 58
0, 1890 MHz, 6800 MHz, 138.73 W, 57
1, 1905 MHz, 6800 MHz, 154.94 W, 53
2, 1890 MHz, 6800 MHz, 210.35 W, 59
3, 1860 MHz, 6800 MHz, 144.66 W, 59
0, 1875 MHz, 6800 MHz, 206.73 W, 60
1, 1890 MHz, 6800 MHz, 227.47 W, 57
2, 1875 MHz, 6800 MHz, 226.24 W, 60
3, 1860 MHz, 6800 MHz, 223.94 W, 63
0, 1875 MHz, 6800 MHz, 86.68 W, 56
1, 1890 MHz, 6800 MHz, 106.33 W, 53
2, 1875 MHz, 6800 MHz, 108.91 W, 57
3, 1860 MHz, 6800 MHz, 97.00 W, 59
0, 1875 MHz, 6800 MHz, 187.30 W, 60
1, 1890 MHz, 6800 MHz, 202.81 W, 57
2, 1875 MHz, 6800 MHz, 209.80 W, 60
3, 1860 MHz, 6800 MHz, 193.27 W, 63
0, 1875 MHz, 6800 MHz, 199.46 W, 61
1, 1890 MHz, 6800 MHz, 207.76 W, 58
2, 1875 MHz, 6800 MHz, 213.11 W, 62
3, 1860 MHz, 6800 MHz, 204.04 W, 65
0, 1875 MHz, 6800 MHz, 199.85 W, 62
1, 1890 MHz, 6800 MHz, 209.23 W, 59
2, 1875 MHz, 6800 MHz, 213.36 W, 62
3, 1860 MHz, 6800 MHz, 204.24 W, 65
0, 1875 MHz, 6800 MHz, 88.79 W, 58
1, 1890 MHz, 6800 MHz, 106.69 W, 55
2, 1875 MHz, 6800 MHz, 111.31 W, 59
3, 1860 MHz, 6800 MHz, 99.58 W, 61
0, 1875 MHz, 6800 MHz, 141.42 W, 60
1, 1890 MHz, 6800 MHz, 115.78 W, 57
2, 1875 MHz, 6800 MHz, 139.73 W, 61
3, 1860 MHz, 6800 MHz, 175.86 W, 63
0, 1875 MHz, 6800 MHz, 208.01 W, 62
1, 1890 MHz, 6800 MHz, 228.68 W, 60
2, 1875 MHz, 6800 MHz, 232.78 W, 63
3, 1860 MHz, 6800 MHz, 224.96 W, 66
0, 1875 MHz, 6800 MHz, 210.37 W, 62
1, 1890 MHz, 6800 MHz, 230.51 W, 60
2, 1875 MHz, 6800 MHz, 234.58 W, 63
3, 1860 MHz, 6800 MHz, 227.60 W, 67
0, 1875 MHz, 6800 MHz, 196.22 W, 62
1, 1890 MHz, 6800 MHz, 233.04 W, 60
2, 1875 MHz, 6800 MHz, 225.84 W, 62
3, 1860 MHz, 6800 MHz, 229.56 W, 65
0, 1875 MHz, 6800 MHz, 131.08 W, 61
1, 1890 MHz, 6800 MHz, 177.87 W, 59
2, 1875 MHz, 6800 MHz, 160.75 W, 62
3, 1845 MHz, 6800 MHz, 115.46 W, 65
0, 1875 MHz, 6800 MHz, 137.40 W, 63
1, 1875 MHz, 6800 MHz, 125.56 W, 61
2, 1875 MHz, 6800 MHz, 148.08 W, 64
3, 1845 MHz, 6800 MHz, 193.46 W, 67
