0, 1890 MHz, 6800 MHz, 87.03 W, 55
1, 1905 MHz, 6800 MHz, 105.66 W, 52
2, 1890 MHz, 6800 MHz, 107.94 W, 56
3, 1860 MHz, 6800 MHz, 96.15 W, 58
0, 1890 MHz, 6800 MHz, 159.62 W, 57
1, 1905 MHz, 6800 MHz, 160.71 W, 55
2, 1890 MHz, 6800 MHz, 171.76 W, 58
3, 1860 MHz, 6800 MHz, 146.50 W, 60
0, 1875 MHz, 6800 MHz, 211.31 W, 61
1, 1890 MHz, 6800 MHz, 228.17 W, 58
2, 1875 MHz, 6800 MHz, 224.45 W, 61
3, 1860 MHz, 6800 MHz, 224.07 W, 64
0, 1875 MHz, 6800 MHz, 89.95 W, 57
1, 1890 MHz, 6800 MHz, 106.92 W, 54
2, 1875 MHz, 6800 MHz, 109.29 W, 57
3, 1860 MHz, 6800 MHz, 97.64 W, 60
0, 1875 MHz, 6800 MHz, 194.39 W, 60
1, 1890 MHz, 6800 MHz, 188.57 W, 57
2, 1875 MHz, 6800 MHz, 205.84 W, 61
3, 1860 MHz, 6800 MHz, 195.65 W, 64
0, 1875 MHz, 6800 MHz, 201.74 W, 62
1, 1890 MHz, 6800 MHz, 208.05 W, 59
2, 1875 MHz, 6800 MHz, 212.24 W, 62
3, 1860 MHz, 6800 MHz, 203.41 W, 65
0, 1875 MHz, 6800 MHz, 202.73 W, 62
1, 1890 MHz, 6800 MHz, 210.35 W, 59
2, 1875 MHz, 6800 MHz, 213.34 W, 62
3, 1860 MHz, 6800 MHz, 204.16 W, 66
0, 1875 MHz, 6800 MHz, 91.07 W, 58
1, 1890 MHz, 6800 MHz, 106.93 W, 55
2, 1875 MHz, 6800 MHz, 111.49 W, 59
3, 1860 MHz, 6800 MHz, 100.07 W, 61
0, 1875 MHz, 6800 MHz, 174.02 W, 60
1, 1890 MHz, 6800 MHz, 116.02 W, 57
2, 1875 MHz, 6800 MHz, 196.42 W, 61
3, 1860 MHz, 6800 MHz, 163.51 W, 64
0, 1875 MHz, 6800 MHz, 213.64 W, 62
1, 1890 MHz, 6800 MHz, 228.44 W, 60
2, 1875 MHz, 6800 MHz, 231.87 W, 63
3, 1860 MHz, 6800 MHz, 226.81 W, 66
0, 1875 MHz, 6800 MHz, 213.90 W, 63
1, 1890 MHz, 6800 MHz, 229.72 W, 60
2, 1875 MHz, 6800 MHz, 234.50 W, 63
3, 1845 MHz, 6800 MHz, 223.28 W, 67
0, 1875 MHz, 6800 MHz, 216.25 W, 63
1, 1890 MHz, 6800 MHz, 230.90 W, 60
2, 1875 MHz, 6800 MHz, 235.53 W, 63
3, 1845 MHz, 6800 MHz, 189.47 W, 66
0, 1875 MHz, 6800 MHz, 215.02 W, 61
1, 1890 MHz, 6800 MHz, 177.39 W, 59
2, 1875 MHz, 6800 MHz, 217.96 W, 62
3, 1845 MHz, 6800 MHz, 121.44 W, 65
0, 1875 MHz, 6800 MHz, 166.74 W, 63
1, 1875 MHz, 6800 MHz, 129.00 W, 61
2, 1875 MHz, 6800 MHz, 210.46 W, 64
3, 1845 MHz, 6800 MHz, 172.05 W, 67
0, 1875 MHz, 6800 MHz, 212.21 W, 64
1, 1875 MHz, 6800 MHz, 195.38 W, 62
2, 1875 MHz, 6800 MHz, 235.52 W, 65
3, 1845 MHz, 6800 MHz, 225.47 W, 68
0, 1875 MHz, 6800 MHz, 214.35 W, 65
1, 1875 MHz, 6800 MHz, 230.64 W, 62
2, 1875 MHz, 6800 MHz, 237.71 W, 65
3, 1845 MHz, 6800 MHz, 226.01 W, 69
0, 1875 MHz, 6800 MHz, 217.31 W, 65
1, 1875 MHz, 6800 MHz, 231.80 W, 63
2, 1860 MHz, 6800 MHz, 233.10 W, 66
3, 1845 MHz, 6800 MHz, 228.85 W, 69
0, 1860 MHz, 6800 MHz, 213.20 W, 65
1, 1875 MHz, 6800 MHz, 231.16 W, 63
2, 1860 MHz, 6800 MHz, 234.01 W, 66
3, 1845 MHz, 6800 MHz, 230.09 W, 69
0, 1860 MHz, 6800 MHz, 214.91 W, 66
1, 1875 MHz, 6800 MHz, 232.78 W, 63
2, 1860 MHz, 6800 MHz, 229.50 W, 66
3, 1845 MHz, 6800 MHz, 229.99 W, 69
0, 1860 MHz, 6800 MHz, 212.74 W, 65
1, 1875 MHz, 6800 MHz, 233.01 W, 62
2, 1860 MHz, 6800 MHz, 211.10 W, 65
3, 1845 MHz, 6800 MHz, 227.26 W, 68
0, 1860 MHz, 6800 MHz, 204.31 W, 64
1, 1875 MHz, 6800 MHz, 233.95 W, 62
2, 1860 MHz, 6800 MHz, 187.69 W, 64
3, 1845 MHz, 6800 MHz, 200.98 W, 68
0, 1860 MHz, 6800 MHz, 194.39 W, 64
1, 1875 MHz, 6800 MHz, 123.95 W, 62
2, 1860 MHz, 6800 MHz, 173.14 W, 65
3, 1845 MHz, 6800 MHz, 185.51 W, 68
0, 1860 MHz, 6800 MHz, 182.36 W, 65
1, 1875 MHz, 6800 MHz, 125.71 W, 63
2, 1860 MHz, 6800 MHz, 160.05 W, 66
3, 1845 MHz, 6800 MHz, 177.78 W, 69
0, 1860 MHz, 6800 MHz, 142.99 W, 66
1, 1875 MHz, 6800 MHz, 129.41 W, 64
2, 1860 MHz, 6800 MHz, 204.27 W, 67
3, 1845 MHz, 6800 MHz, 179.59 W, 70
0, 1860 MHz, 6800 MHz, 167.85 W, 66
1, 1875 MHz, 6800 MHz, 180.24 W, 64
2, 1860 MHz, 6800 MHz, 204.89 W, 67
3, 1845 MHz, 6800 MHz, 182.45 W, 71
0, 1860 MHz, 6800 MHz, 215.20 W, 67
1, 1875 MHz, 6800 MHz, 236.20 W, 65
2, 1860 MHz, 6800 MHz, 241.54 W, 68
3, 1845 MHz, 6800 MHz, 234.16 W, 72
0, 1860 MHz, 6800 MHz, 217.21 W, 67
1, 1875 MHz, 6800 MHz, 239.46 W, 66
2, 1860 MHz, 6800 MHz, 241.31 W, 68
3, 1830 MHz, 6800 MHz, 231.67 W, 72
0, 1860 MHz, 6800 MHz, 186.02 W, 67
1, 1875 MHz, 6800 MHz, 222.97 W, 65
2, 1860 MHz, 6800 MHz, 240.62 W, 68
3, 1830 MHz, 6800 MHz, 190.10 W, 71
0, 1860 MHz, 6800 MHz, 216.28 W, 68
1, 1875 MHz, 6800 MHz, 207.46 W, 66
2, 1860 MHz, 6800 MHz, 241.26 W, 69
3, 1830 MHz, 6800 MHz, 230.01 W, 72
0, 1860 MHz, 6800 MHz, 218.32 W, 68
1, 1875 MHz, 6800 MHz, 239.76 W, 66
2, 1860 MHz, 6800 MHz, 243.33 W, 69
3, 1830 MHz, 6800 MHz, 232.39 W, 72
0, 1860 MHz, 6800 MHz, 218.44 W, 68
1, 1875 MHz, 6800 MHz, 239.96 W, 67
2, 1860 MHz, 6800 MHz, 242.82 W, 69
3, 1830 MHz, 6800 MHz, 233.36 W, 73
0, 1860 MHz, 6800 MHz, 220.77 W, 68
1, 1860 MHz, 6800 MHz, 241.76 W, 66
2, 1860 MHz, 6800 MHz, 243.25 W, 69
3, 1830 MHz, 6800 MHz, 232.73 W, 72
0, 1860 MHz, 6800 MHz, 180.40 W, 68
1, 1860 MHz, 6800 MHz, 185.83 W, 66
2, 1860 MHz, 6800 MHz, 215.05 W, 69
3, 1830 MHz, 6800 MHz, 207.47 W, 72
0, 1860 MHz, 6800 MHz, 218.59 W, 69
1, 1860 MHz, 6800 MHz, 232.76 W, 67
2, 1860 MHz, 6800 MHz, 243.46 W, 70
3, 1830 MHz, 6800 MHz, 235.71 W, 73
0, 1860 MHz, 6800 MHz, 220.44 W, 69
1, 1860 MHz, 6800 MHz, 242.01 W, 67
2, 1860 MHz, 6800 MHz, 246.37 W, 70
3, 1830 MHz, 6800 MHz, 234.29 W, 73
0, 1860 MHz, 6800 MHz, 221.42 W, 69
1, 1860 MHz, 6800 MHz, 243.95 W, 67
2, 1860 MHz, 6800 MHz, 245.12 W, 70
3, 1830 MHz, 6800 MHz, 233.81 W, 74
0, 1860 MHz, 6800 MHz, 221.36 W, 69
1, 1860 MHz, 6800 MHz, 245.84 W, 68
2, 1860 MHz, 6800 MHz, 251.70 W, 71
3, 1830 MHz, 6800 MHz, 236.20 W, 74
0, 1860 MHz, 6800 MHz, 213.65 W, 70
1, 1860 MHz, 6800 MHz, 222.14 W, 68
2, 1860 MHz, 6800 MHz, 230.88 W, 71
3, 1830 MHz, 6800 MHz, 216.89 W, 74
0, 1860 MHz, 6800 MHz, 98.89 W, 65
1, 1860 MHz, 6800 MHz, 114.54 W, 63
2, 1860 MHz, 6800 MHz, 122.76 W, 67
3, 1830 MHz, 6800 MHz, 109.23 W, 68
0, 1860 MHz, 6800 MHz, 172.27 W, 67
1, 1875 MHz, 6800 MHz, 224.65 W, 65
2, 1860 MHz, 6800 MHz, 237.90 W, 69
3, 1830 MHz, 6800 MHz, 220.06 W, 71
0, 1860 MHz, 6800 MHz, 217.47 W, 69
1, 1875 MHz, 6800 MHz, 176.29 W, 65
2, 1860 MHz, 6800 MHz, 235.91 W, 68
3, 1830 MHz, 6800 MHz, 217.62 W, 70
0, 1860 MHz, 6800 MHz, 177.01 W, 67
1, 1860 MHz, 6800 MHz, 191.32 W, 65
2, 1860 MHz, 6800 MHz, 250.81 W, 68
3, 1830 MHz, 6800 MHz, 231.58 W, 70
0, 1860 MHz, 6800 MHz, 116.67 W, 68
1, 1860 MHz, 6800 MHz, 129.23 W, 66
2, 1860 MHz, 6800 MHz, 191.53 W, 70
3, 1830 MHz, 6800 MHz, 180.28 W, 72
0, 1860 MHz, 6800 MHz, 184.71 W, 69
1, 1860 MHz, 6800 MHz, 203.89 W, 67
2, 1860 MHz, 6800 MHz, 245.69 W, 70
3, 1830 MHz, 6800 MHz, 231.11 W, 73
0, 1860 MHz, 6800 MHz, 218.07 W, 69
1, 1860 MHz, 6800 MHz, 237.52 W, 67
2, 1860 MHz, 6800 MHz, 245.65 W, 71
3, 1830 MHz, 6800 MHz, 231.65 W, 73
0, 1860 MHz, 6800 MHz, 217.90 W, 69
1, 1860 MHz, 6800 MHz, 238.34 W, 67
