0, 1890 MHz, 6800 MHz, 86.47 W, 55
1, 1350 MHz, 6800 MHz, 80.14 W, 50
2, 1350 MHz, 6800 MHz, 81.83 W, 54
3, 1350 MHz, 6800 MHz, 68.61 W, 56
0, 1890 MHz, 6800 MHz, 107.81 W, 57
1, 1875 MHz, 6800 MHz, 121.91 W, 52
2, 1890 MHz, 6800 MHz, 189.49 W, 58
3, 1860 MHz, 6800 MHz, 179.31 W, 60
0, 1875 MHz, 6800 MHz, 205.91 W, 60
1, 1890 MHz, 6800 MHz, 224.84 W, 57
2, 1875 MHz, 6800 MHz, 228.71 W, 60
3, 1860 MHz, 6800 MHz, 220.29 W, 63
0, 1875 MHz, 6800 MHz, 87.93 W, 56
1, 1890 MHz, 6800 MHz, 105.90 W, 53
2, 1875 MHz, 6800 MHz, 108.62 W, 57
3, 1860 MHz, 6800 MHz, 97.03 W, 59
0, 1875 MHz, 6800 MHz, 146.68 W, 58
1, 1890 MHz, 6800 MHz, 151.22 W, 55
2, 1875 MHz, 6800 MHz, 162.76 W, 59
3, 1860 MHz, 6800 MHz, 152.50 W, 61
0, 1875 MHz, 6800 MHz, 148.53 W, 59
1, 1890 MHz, 6800 MHz, 159.56 W, 56
2, 1875 MHz, 6800 MHz, 164.30 W, 59
3, 1860 MHz, 6800 MHz, 155.28 W, 62
0, 1875 MHz, 6800 MHz, 147.35 W, 59
1, 1890 MHz, 6800 MHz, 160.46 W, 56
2, 1875 MHz, 6800 MHz, 166.08 W, 60
3, 1860 MHz, 6800 MHz, 155.82 W, 62
0, 1875 MHz, 6800 MHz, 144.19 W, 59
1, 1890 MHz, 6800 MHz, 161.74 W, 56
2, 1875 MHz, 6800 MHz, 163.57 W, 60
3, 1860 MHz, 6800 MHz, 152.95 W, 62
0, 1875 MHz, 6800 MHz, 149.11 W, 59
1, 1890 MHz, 6800 MHz, 161.48 W, 56
2, 1875 MHz, 6800 MHz, 167.19 W, 60
3, 1860 MHz, 6800 MHz, 156.13 W, 63
0, 1875 MHz, 6800 MHz, 145.15 W, 60
1, 1890 MHz, 6800 MHz, 159.72 W, 57
2, 1875 MHz, 6800 MHz, 164.67 W, 60
3, 1860 MHz, 6800 MHz, 155.43 W, 63
0, 1875 MHz, 6800 MHz, 88.79 W, 57
1, 1890 MHz, 6800 MHz, 106.28 W, 54
2, 1875 MHz, 6800 MHz, 113.03 W, 58
3, 1860 MHz, 6800 MHz, 98.95 W, 60
0, 1875 MHz, 6800 MHz, 206.33 W, 61
1, 1890 MHz, 6800 MHz, 225.82 W, 58
2, 1875 MHz, 6800 MHz, 230.20 W, 61
3, 1860 MHz, 6800 MHz, 222.65 W, 64
0, 1875 MHz, 6800 MHz, 209.74 W, 62
1, 1890 MHz, 6800 MHz, 228.51 W, 59
2, 1875 MHz, 6800 MHz, 231.05 W, 63
3, 1845 MHz, 6800 MHz, 226.76 W, 66
0, 1875 MHz, 6800 MHz, 176.73 W, 61
1, 1890 MHz, 6800 MHz, 228.15 W, 58
2, 1875 MHz, 6800 MHz, 232.95 W, 61
3, 1845 MHz, 6800 MHz, 186.58 W, 65
0, 1875 MHz, 6800 MHz, 211.66 W, 62
1, 1890 MHz, 6800 MHz, 178.11 W, 59
2, 1875 MHz, 6800 MHz, 183.67 W, 62
3, 1845 MHz, 6800 MHz, 216.08 W, 65
0, 1875 MHz, 6800 MHz, 139.98 W, 61
1, 1890 MHz, 6800 MHz, 119.86 W, 59
2, 1875 MHz, 6800 MHz, 124.43 W, 62
3, 1845 MHz, 6800 MHz, 139.20 W, 66
0, 1875 MHz, 6800 MHz, 129.16 W, 63
1, 1875 MHz, 6800 MHz, 199.17 W, 61
2, 1875 MHz, 6800 MHz, 196.44 W, 64
3, 1845 MHz, 6800 MHz, 151.40 W, 67
0, 1875 MHz, 6800 MHz, 214.35 W, 64
1, 1875 MHz, 6800 MHz, 228.90 W, 61
2, 1875 MHz, 6800 MHz, 235.25 W, 65
3, 1845 MHz, 6800 MHz, 228.87 W, 68
0, 1875 MHz, 6800 MHz, 216.09 W, 64
1, 1875 MHz, 6800 MHz, 231.47 W, 62
2, 1875 MHz, 6800 MHz, 236.28 W, 65
3, 1845 MHz, 6800 MHz, 226.36 W, 69
0, 1875 MHz, 6800 MHz, 215.04 W, 65
1, 1875 MHz, 6800 MHz, 232.10 W, 62
2, 1875 MHz, 6800 MHz, 238.77 W, 65
3, 1845 MHz, 6800 MHz, 230.28 W, 69
0, 1860 MHz, 6800 MHz, 212.31 W, 65
1, 1875 MHz, 6800 MHz, 232.20 W, 63
2, 1860 MHz, 6800 MHz, 233.63 W, 66
3, 1845 MHz, 6800 MHz, 229.12 W, 69
